score,word
0.10058408850188576,url hidden
0.0342536883472624,causeway bay
0.028782465334176353,sensitive contents
0.02725495274388178,automated posting
0.026430197407706423,walking distance
0.022051099706525204,washing machine
0.015321813193906783,kwai fong
0.013997563869046473,tsim sha
0.013059163162895777,dim sum
0.01222932485894489,het appartement
0.011544338071842986,nous avons
0.011353486612489718,sha tsui
0.011028837851942143,prince edward
0.011013118156507838,public transport
0.009671615767689021,discovery bay
0.008710223207949007,pui yan
0.00856685021653667,temple street
0.00848901105826602,hdmi input
0.00848901105826602,找快技 忌抉抖快快
0.007649046846347636,hair dryer
0.007631857769769093,???? ??
0.007591025908966349,bien situ谷
0.007417935983827489,chungking mansion
0.006966998026561019,? ????
0.006862827341424847,sai kung
0.006773613930249571,security guard
0.006738898528356522,peut 那tre
0.006738898528356522,blackout curtains
0.006713789544851835,convenience stores
0.006578384372535739,ferry terminal
