score,word
0.03408131426944481,automated posting
0.02641771623760865,surry hills
0.024051310831915588,circular quay
0.02306409227516997,walking distance
0.020917966690716928,public transport
0.017076127276250054,kings cross
0.015977627607739946,washing machine
0.011690840328197956,url hidden
0.01020519631423617,darling harbour
0.009414547922376611,nous avons
0.00933138016384567,days before
0.008700521423793062,eastern suburbs
0.007751986461293055,utterly unprofessional
0.007751986461293055,?? ??
0.007655458079453454,tr¨¨s bien
0.007573653399612593,stato molto
0.007496528257222322,das zimmer
0.006965238730503133,grocery store
0.0067861754849823175,harbour bridge
0.006635945526277749,opal cards
0.006388497887626652,northern beaches
0.006231065631258645,opal card
0.006070242830410394,double bay
0.005901743737075649,warehouse conversion
0.005813162087251086,added bonus
0.005688050106406573,wohl gef¨¹hlt
0.005500724646526874,bondi junction
0.005490263778147826,capitol theatre
0.005328113831392527,muy bien
0.00532511583031745,before arrival
