score,word
0.030201216591143894,automated posting
0.02956157017610656,walking distance
0.02619231982817318,surry hills
0.02432774642116084,circular quay
0.02385799079693301,darling harbour
0.021053814613953177,url hidden
0.019512797647490525,nous avons
0.01785923752138143,public transport
0.01567976154955761,kings cross
0.012192195399141114,mary jane
0.011752976838409175,???? ???
0.01069255154992335,washing machine
0.009757285968747309,botanic gardens
0.009747094735288644,wir haben
0.009278181565465796,bondi junction
0.008679153421291901,etwas weiter
0.008205217637726464,double bay
0.007995558921836152,mona vale
0.00772141536100913,grocery store
0.007164773475513434,opal card
0.0071402618610230595,public transportation
0.006881081988439731,sante livia
0.006761805505030494,swimming pool
0.00664498833754767,opal cards
0.006594966769399436,potts point
0.00644426209725007,surrey hills
0.006324445259352949,sensitive contents
0.0060308976787949355,blue mountains
0.005991190141019478,wir hatten
0.005876488419204588,??? ???
