score,word
0.08279355591079167,tropical hideaway
0.03853147843824481,surry hills
0.03828717200136859,kings cross
0.03802984130969899,automated posting
0.035244777583504985,circular quay
0.03127805543369898,lejligheden ligger
0.024887941194641675,walking distance
0.020542021132779597,cremorne wharf
0.020542021132779597,mary jane
0.0196930164651145,url hidden
0.01798026779705734,glebe gardens
0.01743882162994764,public transport
0.01507354609492305,blue mountains
0.014459755415179926,grocery store
0.012648920479642693,washing machine
0.011025878783075538,harbour bridge
0.010542496496852308,inner west
0.00973767640703994,future visits
0.009259293782497962,those wanting
0.009228894556726356,tr¨¨s agr¨¦able
0.009199283990087962,????? ?????
0.009199283990087962,????? ??
0.009199283990087962,?? ???
0.009199283990087962,??? ?
0.009199283990087962,? ???
0.009199283990087962,??? ???
0.009199283990087962,bobby? ??
0.009199283990087962,?? ???
0.009199283990087962,??? ??
0.009199283990087962,?? ?????
