score,word
0.03231132437673602,automated posting
0.028397063628071952,security deposit
0.015635985009257048,grocery store
0.01416473618662358,public transportation
0.00651938603758788,within walking
0.005497173009356546,trinity bellwoods
0.0044810689561823195,distillery district
0.004056039386924789,hand-to-hand exchange
0.003627784196014883,subway station
0.0034278606478231085,bishop airport
0.003421766128656543,went above
0.003033407852530051,gardiner expressway
0.0030183506561156184,clear instructions
0.0026553623352923196,dvd player
0.00254723441486735,lawrence market
0.002446373286633878,common areas
0.002285258403418524,craft beer
0.002285258403418524,written notes
0.0020935549615766595,york university
0.002061886889840063,water pressure
0.002019740370200778,major attractions
0.001940677200420964,personnal reasons
0.001940677200420964,overpack b/c
0.001940677200420964,symphony orchestra
0.001940677200420964,concerning teodor
0.001940677200420964,lewis hamilton
0.001940677200420964,coin-op machines
0.001940677200420964,lowered celing
0.001940677200420964,unclog shower-heads
0.001940677200420964,creek pioneer
