score,word
0.037716950735457194,cn tower
0.030746178865281498,automated posting
0.029158884238103373,walking distance
0.01630549049083355,before arrival
0.013131025169260508,union station
0.012370145729814833,public transportation
0.012225036758943276,qu'il faut
0.011789735319779275,grocery store
0.011709432137483738,url hidden
0.01123007555827087,days before
0.010828131385293732,public transit
0.010201046718173982,kensington market
0.008940451872274083,public transport
0.008927940674165958,liberty village
0.0083800298091925,nous avons
0.008021157773115328,très bien
0.00762667980999622,distillery district
0.007535893209401156,within walking
0.007375172977974009,raptors game
0.006976848939643748,grocery stores
0.006768248814166523,entertainment district
0.006333835232028531,eaton center
0.005967591865255984,trinity bellwoods
0.005477209542056978,went above
0.005466488221357079,common areas
0.005398193330604252,portable heater
0.005225915719920015,lake ontario
0.005223006029284908,swimming pool
0.004949027057836195,queen west
0.004946370386737477,deux chambres
